train_loss,epoch,step,val_loss,val_acc,train_acc
0.6442488431930542,0,49,,,
0.6469524502754211,0,99,,,
0.5597691535949707,0,149,,,
0.6167880892753601,0,199,,,
0.6035091876983643,0,249,,,
0.4446747601032257,0,299,,,
0.5493343472480774,0,349,,,
0.4614391028881073,0,399,,,
0.5035499334335327,0,449,,,
,0,449,0.4830250144004822,0.7756249904632568,
,0,449,,,0.7297916412353516
0.43458083271980286,1,499,,,
0.6277236342430115,1,549,,,
0.3479144275188446,1,599,,,
0.3371676206588745,1,649,,,
0.5425464510917664,1,699,,,
0.2397117018699646,1,749,,,
0.3110060691833496,1,799,,,
0.6179568767547607,1,849,,,
0.3320322632789612,1,899,,,
,1,899,0.44325533509254456,0.8100000023841858,
,1,899,,,0.793055534362793
0.33668994903564453,2,949,,,
0.3638498783111572,2,999,,,
0.4344460666179657,2,1049,,,
0.3352142572402954,2,1099,,,
0.5971119999885559,2,1149,,,
0.3698231875896454,2,1199,,,
0.3735959231853485,2,1249,,,
0.368015855550766,2,1299,,,
0.28615352511405945,2,1349,,,
,2,1349,0.39927828311920166,0.8368750214576721,
,2,1349,,,0.8228472471237183
0.2736969292163849,3,1399,,,
0.3259112536907196,3,1449,,,
0.29331550002098083,3,1499,,,
0.37337547540664673,3,1549,,,
0.3137384057044983,3,1599,,,
0.6196024417877197,3,1649,,,
0.35948461294174194,3,1699,,,
0.3124330937862396,3,1749,,,
0.34439125657081604,3,1799,,,
,3,1799,0.41791629791259766,0.8087499737739563,
,3,1799,,,0.8392361402511597
0.4731627106666565,4,1849,,,
0.4401962161064148,4,1899,,,
0.19925765693187714,4,1949,,,
0.22353577613830566,4,1999,,,
0.3393058776855469,4,2049,,,
0.11176774650812149,4,2099,,,
0.23925933241844177,4,2149,,,
0.25163009762763977,4,2199,,,
0.22989726066589355,4,2249,,,
,4,2249,0.3580443859100342,0.8512499928474426,
,4,2249,,,0.8525000214576721
0.4527031183242798,5,2299,,,
0.3378373384475708,5,2349,,,
0.4168759882450104,5,2399,,,
0.6024278998374939,5,2449,,,
0.44892141222953796,5,2499,,,
0.26604440808296204,5,2549,,,
0.52651047706604,5,2599,,,
0.2739875912666321,5,2649,,,
0.29570624232292175,5,2699,,,
,5,2699,0.37434181571006775,0.8512499928474426,
,5,2699,,,0.8546527624130249
0.2683343291282654,6,2749,,,
0.45139622688293457,6,2799,,,
0.2674162685871124,6,2849,,,
0.46575629711151123,6,2899,,,
0.3282001316547394,6,2949,,,
0.6325790286064148,6,2999,,,
0.5340532660484314,6,3049,,,
0.3005295395851135,6,3099,,,
0.5862833857536316,6,3149,,,
,6,3149,0.350475549697876,0.8531249761581421,
,6,3149,,,0.8640972375869751
0.6618655920028687,7,3199,,,
0.32283657789230347,7,3249,,,
0.28279945254325867,7,3299,,,
0.151167631149292,7,3349,,,
0.3309614062309265,7,3399,,,
0.3864692151546478,7,3449,,,
0.15600799024105072,7,3499,,,
0.2866867780685425,7,3549,,,
0.3024614155292511,7,3599,,,
,7,3599,0.3549795150756836,0.8556249737739563,
,7,3599,,,0.870972216129303
0.2104361653327942,8,3649,,,
0.24731680750846863,8,3699,,,
0.1928934007883072,8,3749,,,
0.3868507742881775,8,3799,,,
0.22574521601200104,8,3849,,,
0.25703859329223633,8,3899,,,
0.2914184629917145,8,3949,,,
0.317986398935318,8,3999,,,
0.2437034547328949,8,4049,,,
,8,4049,0.36104437708854675,0.856249988079071,
,8,4049,,,0.8735416531562805
0.2784234583377838,9,4099,,,
0.3107621669769287,9,4149,,,
0.25228890776634216,9,4199,,,
0.18900473415851593,9,4249,,,
0.28311944007873535,9,4299,,,
0.3269695043563843,9,4349,,,
0.38200482726097107,9,4399,,,
0.20502334833145142,9,4449,,,
0.32204949855804443,9,4499,,,
,9,4499,0.37072649598121643,0.8550000190734863,
,9,4499,,,0.8777083158493042
